idx,label,name,n_solids,vol_cm3,cx_mm,cy_mm,cz_mm,dx_mm,dy_mm,dz_mm
1,SURFACE,Part__Feature001,1,129.377,0.58,-0.29,-11.78,243.18,230.42,49.5
1172,12V UPS,Part__Feature1173,1,110.115,0.0,227.16,-35.96,60.0,93.0,23.1
0,BASE-STR,Part__Feature,1,63.594,0.45,-0.01,-19.99,240.71,120.02,56.64
2,DOWN-SIDE,Part__Feature002,1,54.257,-0.42,-0.0,-54.47,222.63,126.0,16.92
107,PLANE,Part__Feature107,1,52.31,-8.55,0.24,32.92,156.22,159.96,35.26
74,80mm轮胎 v2,Part__Feature074,1,32.749,-85.5,87.31,-41.21,117.88,42.5,117.88
75,80mm轮胎 v001,Part__Feature075,1,32.749,85.5,87.31,-41.21,117.88,42.5,117.88
76,80mm轮胎 v002,Part__Feature076,1,32.749,85.5,-87.31,-41.21,117.88,42.5,117.88
77,80mm轮胎 v003,Part__Feature077,1,32.749,-85.5,-87.31,-41.21,117.88,42.5,117.88
81,80mm轮胎 v004,Part__Feature081,1,32.749,-0.0,88.31,-41.21,83.79,42.5,84.07
83,80mm轮胎 v005,Part__Feature083,1,32.749,-0.0,-88.31,-41.21,84.07,42.5,83.79
70,80mm轮毂 v3,Part__Feature070,1,16.964,-85.5,-90.13,-41.21,60.94,37.1,59.0
71,80mm轮毂 v001,Part__Feature071,1,16.964,85.5,-90.13,-41.21,60.94,37.1,59.0
72,80mm轮毂 v002,Part__Feature072,1,16.964,-85.5,90.13,-41.21,59.0,37.1,60.94
73,80mm轮毂 v003,Part__Feature073,1,16.964,85.5,90.13,-41.21,59.0,37.1,60.94
80,80mm轮毂 v004,Part__Feature080,1,16.964,-0.0,91.13,-41.21,58.94,37.1,61.03
82,80mm轮毂 v005,Part__Feature082,1,16.964,-0.0,-91.13,-41.21,61.03,37.1,58.94
50,"1020铝型材 v1",Part__Feature050,1,16.818,-0.04,-101.1,6.62,144.0,20.0,10.0
53,"1020铝型材 v001",Part__Feature053,1,16.818,-0.04,101.1,6.62,144.0,20.0,10.0
1225,ZK_122,Part__Feature1226,1,14.253,-16.21,135.52,65.91,45.22,15.01,24.72
1232,ZK_122 (1),Part__Feature1233,1,14.253,-36.13,67.27,-143.99,45.22,15.01,24.72
