Cargando STEP...
Solidos: 1392
Solidos PTZ (z_centro > 40): 167
PTZ extension global mm: x[-51.2,37.7] y[-19.3,19.3] z[47.5,167.9]

    #       cx       cy       cz |      dx      dy      dz |   vol_cm3
    0     21.2     -0.0     47.5 |    45.2    24.8    14.1 |     11.13
    1     14.8     -0.0     51.7 |    28.8    21.1     7.2 |      1.24
    2     34.2      1.2     57.3 |    18.5    18.5    30.5 |      5.29
    3     25.7    -17.0     57.5 |     6.0     6.0    35.0 |      0.74
    4     -8.3    -17.0     57.5 |     6.0     6.0    35.0 |      0.74
    5     25.7     17.0     57.5 |     6.0     6.0    35.0 |      0.74
    6     -8.3     17.0     57.5 |     6.0     6.0    35.0 |      0.74
    7     21.2     -0.0     59.9 |    45.2    24.7    15.0 |     14.25
    8      8.7     -0.0     67.5 |    17.6    17.6    18.3 |      0.83
    9     21.2      0.0     71.3 |    45.1    24.7     9.8 |      8.53
   10     17.0    -10.3     74.1 |     3.6     3.6     6.2 |      0.02
   11     37.7    -10.3     75.1 |     3.6     3.6     6.2 |      0.02
   12      8.7     -0.0     76.0 |    19.2    19.2     4.5 |      0.76
   13     19.5     -0.0     76.0 |    63.5    42.0     2.0 |      3.14
   14     25.7    -17.0     76.5 |     6.0     6.0     7.1 |      0.10
   15     -8.3    -17.0     76.5 |     6.0     6.0     7.1 |      0.10
   16     25.7     17.0     76.6 |     6.0     6.0     7.1 |      0.10
   17     -8.3     17.0     76.6 |     6.0     6.0     7.1 |      0.10
   18      8.7     -0.0     78.8 |    42.0    42.0     3.5 |      2.77
   19      8.7     -0.0     80.5 |    25.0    25.0     2.0 |      0.89
   20      8.7     -0.0     81.0 |     6.0     6.0     7.1 |      0.10
   21      8.7     -0.0     82.0 |    43.0    43.0     3.4 |      0.08
   22     25.6     -0.0     82.5 |     5.6     5.6     5.6 |      0.09
   23     24.3     -6.4     82.5 |     5.6     5.6     5.6 |      0.09
   24     20.6    -11.9     82.5 |     5.6     5.6     5.6 |      0.09
   25     24.3      6.4     82.5 |     5.6     5.6     5.6 |      0.09
   26     15.2    -15.5     82.5 |     5.6     5.6     5.6 |      0.09
   27     20.6     11.9     82.5 |     5.6     5.6     5.6 |      0.09
   28      8.7    -16.8     82.5 |     5.6     5.6     5.6 |      0.09
   29     15.2     15.5     82.5 |     5.6     5.6     5.6 |      0.09
   30      8.7     -0.0     82.5 |    32.1    32.1     4.3 |      0.05
   31      2.3    -15.5     82.5 |     5.6     5.6     5.6 |      0.09
   32      8.7     16.8     82.5 |     5.6     5.6     5.6 |      0.09
   33     -3.2    -11.9     82.5 |     5.6     5.6     5.6 |      0.09
   34      2.3     15.5     82.5 |     5.6     5.6     5.6 |      0.09
   35     -6.8     -6.4     82.5 |     5.6     5.6     5.6 |      0.09
   36     -3.2     11.9     82.5 |     5.6     5.6     5.6 |      0.09
   37     -8.1     -0.0     82.5 |     5.6     5.6     5.6 |      0.09
